p_score,rel_atr,ema21_slope,bias_long,bias_short,momentum_vol_ratio,order_flow_imbalance,order_flow_pressure,order_flow_aggressor,news_sentiment,news_event_severity,realtime_confidence,volatility_ratio,volatility_regime_flag,precision_score,precision_trigger_ready,precision_trigger_arming,precision_trigger_fire,precision_trigger_confidence,precision_order_flow_ready,structure_flip_flag,momentum_trail_activation_rr,momentum_trail_lock_ratio,momentum_trail_price,analysis_timestamp,close,label
36.0,0.0001119917298414,-0.0001102120244466,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8082469922441564,0.0,0.0,62.0,1.0,1.0,0.0,0.49,0.0,1.0,0.0,0.0,0.0,2025-10-24 04:53:39+00:00,,0
36.0,0.0001101362243579,-0.00010237161589,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8627527047530144,0.0,0.0,62.0,1.0,1.0,0.0,0.49,0.0,1.0,0.0,0.0,0.0,2025-10-24 05:12:02+00:00,,0
28.0,0.0001156259917388,-5.004557116024452e-05,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,62.0,1.0,1.0,0.0,0.49,0.0,1.0,0.0,0.0,0.0,2025-10-24 05:33:42+00:00,,0
28.0,0.0001100850176136,-4.534662141775988e-05,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,62.0,1.0,0.0,1.0,0.54,0.0,1.0,0.0,0.0,0.0,2025-10-24 05:45:40+00:00,,0
44.0,0.0001248579202976,-5.474500644846084e-05,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,62.0,1.0,0.0,1.0,0.54,0.0,0.0,0.0,0.0,0.0,2025-10-24 05:54:53+00:00,,0
52.0,0.0001957216960577,-6.56819616583928e-05,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,62.0,0.0,0.0,0.0,0.207,0.0,0.0,0.0,0.0,0.0,2025-10-24 06:20:11+00:00,,0
28.0,0.0002878349156053,1.180428288940752e-07,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,62.0,1.0,1.0,0.0,0.49,0.0,1.0,0.0,0.0,0.0,2025-10-24 06:47:10+00:00,,0
52.0,0.0003138337936229,-4.843942226052086e-05,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8260661234902108,0.0,0.0,52.0,0.0,0.0,0.0,0.173,0.0,0.0,0.0,0.0,0.0,2025-10-24 06:57:53+00:00,,0
55.40073776278482,0.000350030740116,-0.0007534797642241,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,62.0,1.0,1.0,0.0,0.49,0.0,0.0,0.0,0.0,0.0,2025-10-24 07:20:38+00:00,,0
55.04659593160402,0.0003352748304835,-0.0007613858674915,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6661498708010336,0.0,0.0,62.0,0.0,0.0,0.0,0.207,0.0,0.0,0.0,0.0,0.0,2025-10-24 07:33:54+00:00,,0
